p,s
0.00,30.00
1.00,32.00
2.00,34.00
3.00,36.00
4.00,38.00
5.00,40.00
6.00,42.00
7.00,44.00
8.00,46.00
9.00,48.00
10.00,50.00
11.00,52.00
12.00,54.00
13.00,56.00
14.00,58.00
15.00,60.00
16.00,62.00
17.00,64.00
18.00,66.00
19.00,68.00
20.00,70.00
21.00,72.00
22.00,74.00
23.00,76.00
24.00,78.00
25.00,80.00
26.00,82.00
27.00,84.00
28.00,86.00
29.00,88.00
30.00,90.00
31.00,92.00
32.00,94.00
33.00,96.00
34.00,98.00
35.00,100.00
36.00,102.00
37.00,104.00
38.00,106.00
39.00,108.00
40.00,110.00
41.00,112.00
42.00,114.00
43.00,116.00
44.00,118.00
45.00,120.00
46.00,122.00
47.00,124.00
48.00,126.00
49.00,128.00
50.00,130.00
51.00,132.00
52.00,134.00
53.00,136.00
54.00,138.00
55.00,140.00
56.00,142.00
57.00,144.00
58.00,146.00
59.00,148.00
60.00,150.00
61.00,152.00
62.00,154.00
63.00,156.00
64.00,158.00
65.00,160.00
66.00,162.00
67.00,164.00
68.00,166.00
69.00,168.00
70.00,170.00
71.00,172.00
72.00,174.00
73.00,176.00
74.00,178.00
75.00,180.00
76.00,182.00
77.00,184.00
78.00,186.00
79.00,188.00
80.00,190.00
81.00,192.00
82.00,194.00
83.00,196.00
84.00,198.00
85.00,200.00
86.00,202.00
87.00,204.00
88.00,206.00
89.00,208.00
90.00,210.00
91.00,212.00
92.00,214.00
93.00,216.00
94.00,218.00
95.00,220.00
96.00,222.00
97.00,224.00
98.00,226.00
99.00,228.00
